0.000E+0	7.599E-4
1.600E+1	4.846E-4
3.200E+1	3.662E-4
4.800E+1	3.312E-4
6.400E+1	2.913E-4
8.000E+1	2.269E-4
9.600E+1	1.939E-4
1.120E+2	1.631E-4
1.280E+2	1.699E-4
1.440E+2	1.944E-4
1.600E+2	1.891E-4
1.760E+2	3.277E-4
1.920E+2	2.520E-4
2.080E+2	1.644E-4
2.240E+2	1.336E-4
2.400E+2	1.346E-4
2.560E+2	1.649E-4
2.720E+2	2.605E-4
2.880E+2	2.248E-4
3.040E+2	1.794E-4
3.200E+2	1.373E-4
3.360E+2	1.424E-4
3.520E+2	1.582E-4
3.680E+2	1.243E-4
3.840E+2	1.131E-4
4.000E+2	1.124E-4
4.160E+2	1.145E-4
4.320E+2	1.111E-4
4.480E+2	1.142E-4
4.640E+2	1.054E-4
4.800E+2	1.027E-4
4.960E+2	1.030E-4
5.120E+2	1.034E-4
5.280E+2	1.078E-4
5.440E+2	1.028E-4
5.600E+2	9.551E-5
5.760E+2	9.911E-5
5.920E+2	1.033E-4
6.080E+2	1.005E-4
6.240E+2	9.323E-5
6.400E+2	9.062E-5
6.560E+2	9.244E-5
6.720E+2	9.961E-5
6.880E+2	9.164E-5
7.040E+2	9.011E-5
7.200E+2	9.700E-5
7.360E+2	9.613E-5
7.520E+2	8.948E-5
7.680E+2	9.558E-5
7.840E+2	8.720E-5
8.000E+2	8.638E-5
8.160E+2	8.748E-5
8.320E+2	8.814E-5
8.480E+2	9.140E-5
8.640E+2	9.096E-5
8.800E+2	8.504E-5
8.960E+2	8.898E-5
9.120E+2	9.840E-5
9.280E+2	8.749E-5
9.440E+2	9.152E-5
9.600E+2	9.438E-5
9.760E+2	9.128E-5
9.920E+2	8.796E-5
1.008E+3	9.316E-5
1.024E+3	9.136E-5
1.040E+3	9.774E-5
1.056E+3	1.015E-4
1.072E+3	9.224E-5
1.088E+3	8.656E-5
1.104E+3	8.458E-5
1.120E+3	8.758E-5
1.136E+3	8.934E-5
1.152E+3	8.457E-5
1.168E+3	8.942E-5
1.184E+3	9.125E-5
1.200E+3	9.030E-5
1.216E+3	8.719E-5
1.232E+3	7.944E-5
1.248E+3	8.025E-5
1.264E+3	8.407E-5
1.280E+3	8.735E-5
1.296E+3	8.956E-5
1.312E+3	9.018E-5
1.328E+3	8.535E-5
1.344E+3	8.894E-5
1.360E+3	8.391E-5
1.376E+3	8.449E-5
1.392E+3	8.739E-5
1.408E+3	8.534E-5
1.424E+3	8.453E-5
1.440E+3	8.309E-5
1.456E+3	8.573E-5
1.472E+3	8.597E-5
1.488E+3	9.313E-5
1.504E+3	8.934E-5
1.520E+3	8.707E-5
1.536E+3	7.668E-5
1.552E+3	8.213E-5
1.568E+3	8.472E-5
1.584E+3	8.609E-5
1.600E+3	8.270E-5
1.616E+3	8.507E-5
1.632E+3	8.690E-5
1.648E+3	7.749E-5
1.664E+3	8.405E-5
1.680E+3	8.171E-5
1.696E+3	7.995E-5
1.712E+3	7.582E-5
1.728E+3	8.030E-5
1.744E+3	8.420E-5
1.760E+3	8.692E-5
1.776E+3	8.907E-5
1.792E+3	8.732E-5
1.808E+3	8.480E-5
1.824E+3	8.407E-5
1.840E+3	8.109E-5
1.856E+3	8.536E-5
1.872E+3	7.789E-5
1.888E+3	7.244E-5
1.904E+3	7.669E-5
1.920E+3	7.992E-5
1.936E+3	8.299E-5
1.952E+3	7.533E-5
1.968E+3	7.820E-5
1.984E+3	8.967E-5
2.000E+3	8.875E-5
2.016E+3	8.510E-5
2.032E+3	8.678E-5
2.048E+3	8.536E-5
2.064E+3	7.946E-5
2.080E+3	8.274E-5
2.096E+3	8.373E-5
2.112E+3	8.407E-5
2.128E+3	7.681E-5
2.144E+3	7.588E-5
2.160E+3	8.186E-5
2.176E+3	7.675E-5
2.192E+3	8.651E-5
2.208E+3	8.839E-5
2.224E+3	7.778E-5
2.240E+3	7.647E-5
2.256E+3	8.212E-5
2.272E+3	8.452E-5
2.288E+3	8.334E-5
2.304E+3	8.166E-5
2.320E+3	7.512E-5
2.336E+3	7.697E-5
2.352E+3	7.791E-5
2.368E+3	7.545E-5
2.384E+3	7.988E-5
2.400E+3	7.811E-5
2.416E+3	7.589E-5
