ISim log file
Running: C:\training\verilog\ex06\ec06proj\MinMaxtf_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/training/verilog/ex06/ec06proj/MinMaxtf_isim_beh.wdb 
ISim O.40d (signature 0x79f3f3a8)
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 us
Simulator is doing circuit initialization process.
Finished circuit initialization process.
Time MinMax X Y Output
  0.0ns 0 x  x  x
2100.0ns 012  4  4
2110.0ns 012  5  5
2120.0ns 012  6  6
2130.0ns 012  7  7
2140.0ns 012  8  8
2150.0ns 012  9  9
2160.0ns 012 10 10
2170.0ns 012 11 11
2180.0ns 012 12 12
2190.0ns 012 13 12
2200.0ns 012 14 12
2210.0ns 012 15 12
2220.0ns 013 15 13
2230.0ns 013  0  0
2240.0ns 013  1  1
2250.0ns 013  2  2
2260.0ns 013  3  3
2270.0ns 013  4  4
2280.0ns 013  5  5
2290.0ns 013  6  6
2300.0ns 013  7  7
2310.0ns 013  8  8
2320.0ns 013  9  9
2330.0ns 013 10 10
2340.0ns 013 11 11
2350.0ns 013 12 12
2360.0ns 013 13 13
2370.0ns 013 14 13
2380.0ns 013 15 13
2390.0ns 014 15 14
2400.0ns 014  0  0
2410.0ns 014  1  1
2420.0ns 014  2  2
2430.0ns 014  3  3
2440.0ns 014  4  4
2450.0ns 014  5  5
2460.0ns 014  6  6
2470.0ns 014  7  7
2480.0ns 014  8  8
2490.0ns 014  9  9
2500.0ns 014 10 10
2510.0ns 014 11 11
2520.0ns 014 12 12
2530.0ns 014 13 13
2540.0ns 014 14 14
2550.0ns 014 15 14
2560.0ns 015 15 15
2570.0ns 015  0  0
2580.0ns 015  1  1
2590.0ns 015  2  2
2600.0ns 015  3  3
2610.0ns 015  4  4
2620.0ns 015  5  5
2630.0ns 015  6  6
2640.0ns 015  7  7
2650.0ns 015  8  8
2660.0ns 015  9  9
2670.0ns 015 10 10
2680.0ns 015 11 11
2690.0ns 015 12 12
2700.0ns 015 13 13
2710.0ns 015 14 14
Got here
2720.0ns 115 15 15
2730.0ns 1 0 15 15
2740.0ns 1 0  0  0
2750.0ns 1 0  1  1
2760.0ns 1 0  2  2
2770.0ns 1 0  3  3
2780.0ns 1 0  4  4
2790.0ns 1 0  5  5
2800.0ns 1 0  6  6
2810.0ns 1 0  7  7
2820.0ns 1 0  8  8
2830.0ns 1 0  9  9
2840.0ns 1 0 10 10
2850.0ns 1 0 11 11
2860.0ns 1 0 12 12
2870.0ns 1 0 13 13
2880.0ns 1 0 14 14
2890.0ns 1 0 15 15
2900.0ns 1 1 15 15
2910.0ns 1 1  0  1
2920.0ns 1 1  1  1
2930.0ns 1 1  2  2
2940.0ns 1 1  3  3
2950.0ns 1 1  4  4
2960.0ns 1 1  5  5
2970.0ns 1 1  6  6
2980.0ns 1 1  7  7
2990.0ns 1 1  8  8
3000.0ns 1 1  9  9
3010.0ns 1 1 10 10
3020.0ns 1 1 11 11
3030.0ns 1 1 12 12
3040.0ns 1 1 13 13
3050.0ns 1 1 14 14
3060.0ns 1 1 15 15
3070.0ns 1 2 15 15
3080.0ns 1 2  0  2
3090.0ns 1 2  1  2
3100.0ns 1 2  2  2
3110.0ns 1 2  3  3
3120.0ns 1 2  4  4
3130.0ns 1 2  5  5
3140.0ns 1 2  6  6
3150.0ns 1 2  7  7
3160.0ns 1 2  8  8
3170.0ns 1 2  9  9
3180.0ns 1 2 10 10
3190.0ns 1 2 11 11
3200.0ns 1 2 12 12
3210.0ns 1 2 13 13
3220.0ns 1 2 14 14
3230.0ns 1 2 15 15
3240.0ns 1 3 15 15
3250.0ns 1 3  0  3
3260.0ns 1 3  1  3
3270.0ns 1 3  2  3
3280.0ns 1 3  3  3
3290.0ns 1 3  4  4
3300.0ns 1 3  5  5
3310.0ns 1 3  6  6
3320.0ns 1 3  7  7
3330.0ns 1 3  8  8
3340.0ns 1 3  9  9
3350.0ns 1 3 10 10
3360.0ns 1 3 11 11
3370.0ns 1 3 12 12
3380.0ns 1 3 13 13
3390.0ns 1 3 14 14
3400.0ns 1 3 15 15
3410.0ns 1 4 15 15
3420.0ns 1 4  0  4
3430.0ns 1 4  1  4
3440.0ns 1 4  2  4
3450.0ns 1 4  3  4
3460.0ns 1 4  4  4
3470.0ns 1 4  5  5
3480.0ns 1 4  6  6
3490.0ns 1 4  7  7
3500.0ns 1 4  8  8
3510.0ns 1 4  9  9
3520.0ns 1 4 10 10
3530.0ns 1 4 11 11
3540.0ns 1 4 12 12
3550.0ns 1 4 13 13
3560.0ns 1 4 14 14
3570.0ns 1 4 15 15
